datetime,open,high,low,close,volume
2012-12-03,2.168,2.18,2.143,2.145,3061587
2012-12-04,2.14,2.166,2.138,2.162,3993001
2012-12-05,2.161,2.252,2.158,2.238,6195196
2012-12-06,2.239,2.246,2.226,2.235,4236821
2012-12-07,2.235,2.287,2.233,2.28,5774856
2012-12-10,2.293,2.307,2.285,2.301,4975709
2012-12-11,2.292,2.306,2.288,2.294,3256954
2012-12-12,2.296,2.306,2.286,2.299,4694800
2012-12-13,2.29,2.297,2.279,2.281,3332027
2012-12-14,2.279,2.4,2.279,2.396,5740476
2012-12-17,2.398,2.408,2.392,2.403,4750982
2012-12-18,2.403,2.44,2.383,2.399,4463114
2012-12-19,2.398,2.42,2.393,2.405,3245530
2012-12-20,2.397,2.431,2.385,2.421,4912790
2012-12-21,2.429,2.446,2.399,2.411,4193594
2012-12-24,2.41,2.431,2.405,2.413,5083168
2012-12-25,2.405,2.492,2.401,2.479,4771782
2012-12-26,2.475,2.488,2.474,2.486,3720030
2012-12-27,2.498,2.514,2.48,2.481,4017303
2012-12-28,2.488,2.519,2.481,2.517,5157085
2012-12-31,2.525,2.562,2.525,2.557,7702944
2013-01-04,2.587,2.593,2.532,2.563,5364708
2013-01-07,2.555,2.577,2.549,2.567,4148280
2013-01-08,2.566,2.572,2.536,2.556,4000972
2013-01-09,2.552,2.567,2.537,2.554,4399883
2013-01-10,2.555,2.586,2.543,2.56,4556251
2013-01-11,2.567,2.573,2.511,2.522,5847044
2013-01-14,2.522,2.621,2.515,2.61,7471833
2013-01-15,2.612,2.636,2.611,2.625,4902077
2013-01-16,2.624,2.629,2.569,2.606,4960657
2013-01-17,2.602,2.607,2.57,2.59,4390935
2013-01-18,2.606,2.643,2.585,2.628,4614400
2013-01-21,2.633,2.642,2.613,2.637,4112879
2013-01-22,2.632,2.649,2.61,2.633,7695142
2013-01-23,2.632,2.643,2.613,2.638,4179259
2013-01-24,2.638,2.699,2.601,2.621,7873514
2013-01-25,2.621,2.624,2.606,2.609,5722447
2013-01-28,2.616,2.68,2.616,2.679,5635544
2013-01-29,2.682,2.712,2.678,2.699,7826804
2013-01-30,2.706,2.716,2.694,2.714,5385049
2013-01-31,2.725,2.73,2.703,2.721,6927571
2013-02-01,2.712,2.778,2.704,2.773,5398153
2013-02-04,2.781,2.796,2.765,2.778,4247564
2013-02-05,2.765,2.813,2.763,2.798,7356517
2013-02-06,2.8,2.813,2.797,2.806,4626880
2013-02-07,2.803,2.806,2.758,2.793,6087426
2013-02-08,2.8,2.82,2.782,2.802,6296267
2013-02-18,2.808,2.811,2.755,2.761,6967875
2013-02-19,2.763,2.768,2.704,2.717,5411521
2013-02-20,2.718,2.73,2.701,2.729,4610177
2013-02-21,2.703,2.703,2.609,2.633,7321565
2013-02-22,2.636,2.644,2.62,2.625,4107547
2013-02-25,2.632,2.659,2.615,2.629,5475510
2013-02-26,2.613,2.658,2.586,2.591,7929724
2013-02-27,2.602,2.643,2.598,2.615,4683231
2013-02-28,2.639,2.706,2.623,2.702,6133326
2013-03-01,2.702,2.71,2.652,2.699,4276796
2013-03-04,2.665,2.667,2.56,2.573,7400084
2013-03-05,2.578,2.649,2.574,2.646,5414035
2013-03-06,2.664,2.691,2.647,2.674,5958096
2013-03-07,2.663,2.683,2.617,2.642,7909465
2013-03-08,2.658,2.662,2.631,2.638,5495201
2013-03-11,2.62,2.64,2.6,2.62,3553997
2013-03-12,2.62,2.648,2.558,2.583,5303136
2013-03-13,2.579,2.582,2.542,2.555,4421042
2013-03-14,2.542,2.575,2.538,2.56,4439763
2013-03-15,2.566,2.637,2.533,2.562,5027988
2013-03-18,2.555,2.577,2.533,2.535,4252109
2013-03-19,2.539,2.565,2.523,2.557,4337150
2013-03-20,2.558,2.636,2.558,2.634,5888569
2013-03-21,2.64,2.655,2.629,2.641,3606871
2013-03-22,2.642,2.657,2.631,2.648,3630828
2013-03-25,2.658,2.671,2.633,2.644,3428520
2013-03-26,2.631,2.636,2.578,2.601,5746422
2013-03-27,2.603,2.642,2.592,2.607,4445452
2013-03-28,2.57,2.57,2.523,2.527,4066694
2013-03-29,2.535,2.54,2.513,2.52,3232432
2013-04-01,2.511,2.538,2.51,2.516,3309091
2013-04-02,2.522,2.556,2.503,2.52,3725639
2013-04-03,2.528,2.542,2.505,2.515,3168156
2013-04-08,2.483,2.507,2.466,2.503,3319436
2013-04-09,2.51,2.542,2.51,2.518,4870229
2013-04-10,2.518,2.524,2.502,2.518,2322471
2013-04-11,2.541,2.545,2.506,2.507,2170251
2013-04-12,2.509,2.518,2.496,2.499,2090345
2013-04-15,2.493,2.498,2.466,2.474,2735599
2013-04-16,2.462,2.493,2.454,2.489,4082437
2013-04-17,2.488,2.497,2.472,2.495,4156771
2013-04-18,2.472,2.519,2.471,2.5,4113052
2013-04-19,2.504,2.581,2.503,2.57,5905395
2013-04-22,2.568,2.575,2.553,2.562,2310741
2013-04-23,2.562,2.562,2.48,2.485,3106698
2013-04-24,2.486,2.547,2.48,2.527,3133921
2013-04-25,2.516,2.542,2.488,2.501,2978325
2013-04-26,2.512,2.521,2.467,2.478,1865288
2013-05-02,2.46,2.483,2.451,2.48,2140703
2013-05-03,2.491,2.557,2.486,2.524,3344748
2013-05-06,2.533,2.566,2.532,2.553,2359821
2013-05-07,2.551,2.571,2.536,2.559,2855263
2013-05-08,2.576,2.6,2.564,2.575,2997252
2013-05-09,2.571,2.577,2.541,2.562,1895550
2013-05-10,2.551,2.58,2.55,2.572,2832553
2013-05-13,2.574,2.582,2.546,2.562,1987403
2013-05-14,2.557,2.561,2.506,2.525,2646563
2013-05-15,2.526,2.538,2.523,2.537,1927893
2013-05-16,2.532,2.589,2.52,2.588,4129315
2013-05-17,2.588,2.636,2.58,2.632,4774812
2013-05-20,2.639,2.665,2.629,2.647,2825608
2013-05-21,2.648,2.652,2.632,2.647,2034481
2013-05-22,2.65,2.663,2.64,2.65,1936316
2013-05-23,2.634,2.661,2.612,2.622,2900757
2013-05-24,2.633,2.651,2.604,2.636,4073633
2013-05-27,2.63,2.645,2.62,2.63,2916020
2013-05-28,2.631,2.685,2.619,2.684,3491583
2013-05-29,2.69,2.7,2.674,2.675,3895438
2013-05-30,2.675,2.68,2.656,2.668,5674700
2013-05-31,2.669,2.678,2.633,2.638,5440864
2013-06-03,2.642,2.665,2.635,2.643,3199072
2013-06-04,2.64,2.641,2.597,2.605,4436294
2013-06-05,2.604,2.61,2.589,2.598,2254500
2013-06-06,2.59,2.601,2.571,2.573,2638059
2013-06-07,2.574,2.581,2.515,2.527,3947621
2013-06-13,2.49,2.49,2.424,2.45,6174688
2013-06-14,2.457,2.474,2.444,2.467,3912454
2013-06-17,2.476,2.48,2.448,2.452,3077433
2013-06-18,2.458,2.475,2.441,2.468,3738954
2013-06-19,2.458,2.458,2.417,2.454,2864450
2013-06-20,2.438,2.44,2.373,2.378,3712645
2013-06-21,2.339,2.381,2.327,2.367,3579532
2013-06-24,2.354,2.356,2.216,2.224,7667555
2013-06-25,2.198,2.227,2.073,2.225,9678250
2013-06-26,2.225,2.232,2.185,2.22,5090009
2013-06-27,2.235,2.258,2.215,2.221,4750804
2013-06-28,2.239,2.295,2.203,2.261,4976380
2013-07-01,2.237,2.275,2.223,2.27,2225312
2013-07-02,2.269,2.283,2.247,2.277,4514809
2013-07-03,2.271,2.273,2.229,2.272,3017411
2013-07-04,2.255,2.313,2.241,2.288,2991885
2013-07-05,2.293,2.319,2.287,2.296,1874797
2013-07-08,2.265,2.275,2.229,2.235,1660163
2013-07-09,2.233,2.244,2.222,2.23,4259904
2013-07-10,2.23,2.292,2.224,2.291,2528365
2013-07-11,2.313,2.444,2.308,2.404,4163259
2013-07-12,2.401,2.41,2.344,2.345,5941638
2013-07-15,2.36,2.415,2.348,2.378,4048451
2013-07-16,2.369,2.393,2.352,2.392,4723110
2013-07-17,2.385,2.404,2.353,2.357,3068787
2013-07-18,2.349,2.356,2.311,2.321,3601864
2013-07-19,2.322,2.335,2.257,2.258,4124884
2013-07-22,2.233,2.278,2.215,2.272,3737520
2013-07-23,2.28,2.359,2.28,2.342,3892940
2013-07-24,2.338,2.34,2.29,2.325,3726980
2013-07-25,2.338,2.353,2.304,2.319,3240231
2013-07-26,2.303,2.317,2.284,2.298,2351805
